Date,Open,High,Low,Close,Adj Close,Volume
2019-09-02,151.000000,152.300003,151.000000,152.000000,152.000000,38559
2019-09-03,152.000000,153.000000,151.850006,152.600006,152.600006,36298
2019-09-04,152.750000,154.000000,152.750000,153.399994,153.399994,33635
2019-09-05,153.500000,154.000000,153.500000,153.979996,153.979996,30982
2019-09-06,153.979996,155.000000,153.350006,154.600006,154.600006,26599
2019-09-09,154.600006,155.100006,153.500000,154.500000,154.500000,26642
2019-09-10,154.500000,154.990005,153.009995,154.300003,154.300003,29601
2019-09-11,154.250000,154.470001,153.009995,154.300003,154.300003,26788
2019-09-12,154.300003,154.470001,153.550003,153.750000,153.750000,28531
2019-09-13,154.149994,154.470001,153.500000,154.300003,154.300003,30179
2019-09-16,154.300003,154.470001,153.750000,153.750000,153.750000,35779
2019-09-17,154.029999,154.470001,153.550003,154.250000,154.250000,50380
2019-09-18,154.250000,154.279999,153.899994,153.990005,153.990005,34885
2019-09-19,154.000000,154.350006,152.800003,153.800003,153.800003,44389
2019-09-20,154.100006,154.279999,153.410004,153.490005,153.490005,33842
2019-09-23,153.490005,154.000000,153.199997,153.500000,153.500000,32537
2019-09-24,153.500000,154.100006,153.500000,153.800003,153.800003,29473
2019-09-25,153.800003,154.000000,152.899994,153.449997,153.449997,61212
2019-09-26,153.600006,154.000000,153.449997,153.500000,153.500000,40745
2019-09-27,153.500000,153.770004,153.399994,153.750000,153.750000,35415
2019-09-30,153.750000,154.169998,153.750000,154.000000,154.000000,46016
2019-10-01,154.000000,154.070007,153.000000,153.990005,153.990005,48288
2019-10-02,154.000000,154.500000,153.500000,154.000000,154.000000,46014
2019-10-03,154.000000,154.000000,153.800003,154.000000,154.000000,32864
2019-10-04,154.000000,155.000000,153.539993,155.000000,155.000000,28836
2019-10-07,155.000000,157.229996,155.000000,156.000000,156.000000,38058
2019-10-08,155.500000,155.990005,154.899994,155.539993,155.539993,45103
2019-10-09,155.539993,156.800003,155.539993,156.800003,156.800003,31064
2019-10-10,157.000000,157.889999,156.800003,157.000000,157.000000,28542
2019-10-11,156.800003,157.789993,156.500000,157.639999,157.639999,32944
2019-10-14,157.639999,158.800003,157.029999,158.800003,158.800003,38113
2019-10-15,158.880005,159.789993,158.000000,158.880005,158.880005,39269
2019-10-16,159.110001,160.800003,159.100006,159.460007,159.460007,40918
2019-10-17,159.509995,160.699997,159.509995,159.990005,159.990005,36570
2019-10-18,160.300003,162.000000,160.300003,161.360001,161.360001,38403
2019-10-21,161.509995,162.979996,159.880005,162.000000,162.000000,64503
2019-10-22,162.500000,163.869995,161.990005,161.990005,161.990005,41789
2019-10-23,162.000000,163.389999,160.500000,161.250000,161.250000,44372
2019-10-24,161.259995,162.500000,160.869995,161.850006,161.850006,42757
2019-10-25,162.000000,162.789993,161.199997,161.199997,161.199997,35178
2019-10-28,161.259995,162.800003,161.259995,162.570007,162.570007,29727
2019-10-29,162.570007,162.899994,162.399994,162.550003,162.550003,30524
2019-10-30,162.550003,162.600006,161.679993,162.000000,162.000000,31664
