"Recorded Crime Offences under Reservation  (Number) by Quarter, Garda"
"Division and Type of Offence"

" "," ","01 ,Homicide offences","0111 ,Murder","0112 ,Manslaughter","0113 ,Infanticide","012 ,Dangerous driving leading to death","02 ,Sexual offences","021 ,Rape and sexual assault","022 ,Other sexual offences","03 ,Attempts/threats to murder, assaults, harassments and related offences","0311 ,Murder-attempt","0312 ,Murder-threat","033 ,Harassment and related offences","034 ,Assault causing harm, poisoning","035 ,Other assault","04 ,Dangerous or negligent acts","0411 ,Dangerous driving causing serious bodily harm","0412 ,Driving/in charge of a vehicle while over legal alcohol limit","0413 ,Driving/in charge of a vehicle under the influence of drugs","0421 ,Endangerment with potential for serious harm/death","0422 ,Abandoning a child, child neglect and cruelty","0423 ,Unseaworthy/dangerous use of boat or ship","0424 ,False alarm/interference with aircraft or air transport facilities","0425 ,Endangering traffic offences","05 ,Kidnapping and related offences","0511 ,False imprisonment","0512 ,Abduction of person under 16 years of age","0513 ,Human trafficking offences","06 ,Robbery, extortion and hijacking offences","0611 ,Robbery of an establishment or institution","0612 ,Robbery of cash or goods in transit","0613 ,Robbery from the person","0621 ,Blackmail or extortion","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel","07 ,Burglary and related offences","0711 ,Aggravated burglary","0712 ,Burglary (not aggravated)","0713 ,Possession of an article (with intent to burgle, steal, demand)","08 ,Theft and related offences","081 ,Theft/taking of vehicle and related offences","0821 ,Theft from person","0822 ,Theft from shop","084 ,Other thefts, handling stolen property","09 ,Fraud, deception and related offences","10 ,Controlled drug offences","1011 ,Importation of drugs","1012 ,Cultivation or manufacture of drugs","1021 ,Possession of drugs for sale or supply","1022 ,Possession of drugs for personal use","103 ,Other drug offences","11 ,Weapons and Explosives Offences","111 ,Explosives, chemical weapons offences","1121 ,Discharging a firearm","1122 ,Possession of a firearm","113 ,Offensive weapons offences (n.e.c.)","114 ,Fireworks offences","12 ,Damage to property and to the environment","1211 ,Arson","1212 ,Criminal damage (not arson)","1221 ,Litter offences","13 ,Public order and other social code offences","131 ,Disorderly conduct","132 ,Trespass offences","133 ,Liquor licensing offences","134 ,Prostitution offences","135 ,Regulated betting/money, collection/trading offences","136 ,Social code offences (n.e.c.)","15 ,Offences against government, justice procedures and organisation of crime","151 ,Offences against government and its agents","152 ,Organisation of crime and conspiracy to commit crime","153 ,Perverting the course of justice","157 ,Offences while in custody, breach of court orders"
" ","35 ,Limerick Garda Division",3,2,1,0,0,18,13,5,175,0,5,18,49,103,104,0,101,1,1,1,0,0,0,4,4,0,0,34,19,1,12,0,2,280,4,275,1,1019,183,113,184,539,83,66,0,0,9,56,1,41,0,9,7,25,0,664,44,618,2,382,343,12,24,0,0,3,84,9,0,4,71
" ","41 ,Laois/Offaly Garda Division",0,0,0,0,0,14,14,0,143,0,0,18,27,98,92,0,85,2,0,3,0,0,2,1,1,0,0,4,2,0,2,0,0,162,1,161,0,457,32,29,70,326,25,80,0,0,33,46,1,7,0,0,2,5,0,193,3,190,0,313,174,12,122,0,1,4,25,0,0,0,25
" ","42 ,Meath  Garda Division",2,1,0,0,1,12,12,0,72,0,0,2,20,50,96,0,93,0,1,1,0,0,1,1,1,0,0,15,7,3,5,0,0,222,1,220,1,307,67,6,41,193,17,19,0,0,2,16,1,4,0,3,0,1,0,148,5,143,0,108,101,1,5,0,0,1,22,1,0,0,21
" ","43 ,Wicklow  Garda Division",1,0,0,0,1,16,15,1,59,0,0,4,25,30,83,0,81,0,1,0,0,0,1,1,1,0,0,10,8,0,2,0,0,288,4,283,1,469,77,18,78,296,22,35,0,0,7,25,3,7,0,0,1,6,0,266,7,257,2,286,270,6,7,0,1,2,47,3,0,2,42
" ","44 ,Westmeath  Garda Division",1,0,0,0,1,9,9,0,91,0,0,11,26,54,42,0,40,0,0,1,0,0,1,1,1,0,0,12,6,1,4,0,1,197,1,196,0,331,42,15,68,206,23,28,0,0,15,13,0,9,0,1,6,2,0,133,6,127,0,195,158,5,28,0,0,4,21,2,0,0,19
" ","45 ,Kildare  Garda Division",0,0,0,0,0,18,18,0,137,0,0,10,46,81,116,0,106,2,0,4,0,0,4,0,0,0,0,17,14,0,3,0,0,307,2,303,2,599,120,37,64,378,82,75,1,0,23,48,3,9,0,1,0,8,0,281,12,269,0,437,399,20,16,0,0,2,38,1,2,0,35
" ","51 ,Tipperary Garda Division",1,0,0,0,1,11,11,0,96,0,0,8,33,55,83,0,83,0,0,0,0,0,0,1,0,1,0,5,2,0,3,0,0,149,1,148,0,317,70,11,53,183,28,81,0,0,18,61,2,14,0,3,1,10,0,182,8,174,0,229,218,2,4,0,3,2,27,8,1,1,17
" ","52 ,Wexford  Garda Division",1,0,1,0,0,16,15,1,79,0,0,16,15,48,75,1,74,0,0,0,0,0,0,0,0,0,0,8,3,0,5,0,0,131,2,129,0,314,56,12,68,178,27,58,2,0,7,48,1,13,0,1,2,10,0,174,4,169,1,200,171,2,26,0,0,1,35,1,0,0,34
" ","53 ,Kilkenny/Carlow Garda Division",1,0,0,0,1,27,25,2,98,0,1,7,31,59,102,0,98,1,2,1,0,0,0,1,1,0,0,15,4,0,11,0,0,156,1,154,1,294,34,21,85,154,24,90,1,0,20,63,6,31,0,2,23,6,0,125,7,118,0,395,371,5,13,0,0,6,26,7,0,5,14
" ","54 ,Waterford  Garda Division",2,1,0,0,1,36,33,3,99,0,0,13,43,43,110,0,107,0,0,2,0,0,1,0,0,0,0,9,0,0,9,0,0,234,2,232,0,552,66,22,168,296,47,155,0,2,34,114,5,17,0,0,2,15,0,183,6,177,0,556,493,10,52,0,0,1,61,2,0,2,57
